Name,OTU,Level,NONO_Sig,LONO_Sig,HINO_Sig,NOLO_Sig,NOHI_Sig,LOLO_Sig,HIHI_Sig
Lactococcus,NA,Genus,NA,NA,NA,NA,NA,NA,NA
Pseudoflavonifractor,NA,Genus,NA,NA,NA,NA,NA,NA,NA
Bacteroidetes,NA,Phylum,NA,NA,NA,NA,NA,NA,NA
Firmicutes,NA,Phylum,NA,NA,NA,NA,NA,NA,NA
Proteobacteria,NA,Phylum,NA,NA,NA,NA,NA,NA,NA
Porphyromonadaceae_unclassified,Otu0007,Species,NA,NA,NA,NA,NA,NA,NA
Lactococcus_taiwanensis,Otu0012,Species,NA,NA,NA,NA,NA,NA,NA
Clostridium_IV,Otu0049,Species,NA,NA,NA,NA,NA,NA,NA
X.Clostridium._xylanolyticum,Otu0055,Species,NA,NA,NA,NA,NA,NA,NA
Lachnospiracea_incertae_sedis,Otu0074,Species,NA,NA,NA,NA,NA,NA,NA
Pseudoflavonifractor_unclassified,Otu0095,Species,NA,NA,NA,NA,NA,NA,NA
